htid,recordid,locnum,author,datetype,startdate,enddate,textdate,subjects,genres,title
nyp.33433075881973,008646053,<blank>,"Sturla Þórðarson,",s,1782,    ,1782,Norway;History;Scotland;1030-1397;To 1603,NotFiction,The Norwegian account of Haco's expedition against Scotland
wu.89092526532,005734072,<blank>,"Zimmerman, Godfrey,",s,1852,    ,1852,"Zimmerman, Godfrey;1788-",NotFiction,Autobiography of Godfrey Zimmerman
nyp.33433082179338,008677976,<blank>,"Millhouse, John.",s,1886,    ,1886,<blank>,NotFiction;Dictionary,New English and Italian pronouncing and explanatory dictionary
nyp.33433076093669,008661342,<blank>,"Smollett, T.",s,1796,    ,1796,English fiction,Fiction,"The miscellaneous works of Tobias Smollett, M. D"
mdp.35112102177666,010424573,KF332.C6C6512 1883x,<blank>,s,1883,    ,1883,Bar associations;Colorado State Bar Association;Colorado,NotFiction,"Certificate of incorporation and by-laws of the Colorado State bar association, and list of officers, etc"
njp.32101018176931,005831428,CS435.S4,"Crisp, Frederick Arthur,",m,1887,1890,1887-1890,Wills;England;Somerset,NotFiction,"Abstracts of Somersetshire wills, etc"
mdp.39015078563460,001423418,<blank>,"Swift, Jonathan,",s,1768,    ,1768,<blank>,UnknownGenre,The works of Dr. Jonathan Swift
nyp.33433082375431,006678483,PR5056.A5 1853,"Moore, Thomas,",m,1853,    ,1853-1856,"1779-1852;Moore, Thomas",Fiction,"Memoirs, journal, and correspondence of Thomas Moore"
nyp.33433002988321,008590417,PB1591.S3,"Shaw, William,",s,1780,    ,1780,Dictionaries;Scottish Gaelic language;English;English language;Gaelic,NotFiction,A Gaelic and English dictionary
mdp.39015034779424,002204609,<blank>,"Napier, Archibald Napier,",s,1793,    ,1793,"1576-1645;Politics and government;Great Britain;Baron;1603-1649;Napier, Archibald Napier",NotFiction,"Memoirs of Archibald, first Lord Napier"
hvd.hwjlhh,009718552,<blank>,"Bottarelli, Ferdinando.",s,1826,    ,1826,<blank>,NotFiction,"The new Italian, English, and French pocket dictionary"
njp.32101079872121,009039006,DP522.C8,"Costigan, Arthur William.",s,1787,    ,1787,Social life and customs;Description and travel;Portugal,NotFiction,Sketches of society and manners in Portugal
njp.32101068983988,008976505,<blank>,<blank>,s,1832,    ,1832,Princeton Theological Seminary;Registers,NotFiction,"General catalogue of the Theological Seminary; Princeton, New Jersey, MDCCCXXXII"
uva.x000765264,009783777,<blank>,<blank>,s,1860,    ,1860,Bible;Commentaries,NotFiction,The self-explanatory reference Bible
mdp.39015014235199,001361554,<blank>,"Shakespeare, William,",s,1863,    ,1863,"1564-1616;Quotations;Shakespeare, William;Philosophy",UnknownGenre,"The philosophy of William Shakespeare delineating in seven hundred and fifty passages, selected from his plays, the multiform phases of the human mind"
njp.32101073026013,009011443,<blank>,"Entick, John,",s,1840,    ,1840,Latin language;Dictionaries;English,NotFiction,Tyronis thesaurus;
nyp.33433075867600,008674350,<blank>,"Hossfeld, C.",s,1892,    ,1892,Danish language;Dictionaries;Danish;English language;English,NotFiction;Dictionary,A new pocket-dictionary of the English and Dano-Norwegian languages
nyp.33433082314893,008674499,<blank>,"Ainsworth, Robert,",s,1820,    ,1820,Latin language;Dictionaries;English;English language;Latin,NotFiction;Dictionary,"An abridgment of Ainsworth's dictionary, English and Latin"
uva.x000686505,009797159,PA445.E5F7,"Frädersdorff, J. Wilhelm.",s,1856,    ,1856,Greek language;Dictionaries;English;English language;Greek,NotFiction;Dictionary,A copious phraseological English-Greek lexicon;
mdp.39015078563247,001423378,<blank>,"Swift, Jonathan,",s,1772,    ,1772,<blank>,Tree calf bindings (Binding);Gilt edges (Binding);Calf bindings (Binding);Tooled lettering (Binding);Armorial bindings (Binding);Decorated edges (Binding);Lettering pieces (Binding);UnknownGenre;Headbands (Binding);Worked headbands (Binding);Gold tooled bindings (Binding);Smooth spines (Binding),The works of the Reverend Dr. Jonathan Swift
mdp.39015066184865,000382223,B1153 1826,"Bacon, Francis,",s,1826,    ,1826,<blank>,Fiction,"The works of Francis Bacon, baron of Verulam, viscount St. Alban and lord high chancellor of England"
mdp.39015036673096,000688977,<blank>,"Chalmers, John,",s,1859,    ,1859,China;Cantonese dialects;Cantonese;Dictionaries;English language;Guangzhou,NotFiction,An English and Cantonese pocket-dictionary
nyp.33433075952998,008677840,<blank>,"Vidocq, Eugène François,",s,1859,    ,1859,Crime;France,NotFiction,"Memoirs of Vidocq, the principal agent of the French police"
nnc1.1002312506,008405290,<blank>,"Blenkinsop, Adam,",s,1852,    ,1852,<blank>,NotFiction,Memoirs of Dr. Blenkinsop
hvd.hw2qlc,009709740,<blank>,"Ainsworth, Robert,",s,1804,    ,1804,Latin language;Dictionaries;English;English language;Latin,NotFiction;Dictionary,"An abridgement of the last quarto edition of Ainsworth's dictionary, English and Latin"
uc1.$b650839,008467273,PC1640.R6,"Roberts, J. P.",s,1869,    ,1869,Italian;Dictionaries;English;Italian language;English language,NotFiction;Dictionary,Dizionario italiano-inglese e inglese-italiano ad uso di ambedue le nazioni
njp.32101072745720,009009236,<blank>,<blank>,s,1871,    ,1871,"Concordances;Keble, John;1792-1866",NotFiction,"A Concordance to ""The Christian year."""
nyp.33433082312715,001803424,<blank>,"Millhouse, John.",s,1874,    ,1874,"ed;Italian language;Bracciforti, Ferdinando;Dictionaries;English;English language;Italian",UnknownGenre,New English and Italian pronouncing and explanatory dictionary
hvd.hwsjhd,009721547,<blank>,"Richards, William,",s,1832,    ,1832,<blank>,NotFiction,Welsh and English dictionary
nyp.33433082312707,008674616,<blank>,"Meadows, F. C.",s,1855,    ,1855,Italian language;Dictionaries;English;English language;Italian;Grammar,NotFiction;Dictionary,New Italian and English dictionary
hvd.hwkl5c,009721557,<blank>,<blank>,s,1832,    ,1832,<blank>,NotFiction,The British essayists
nyp.33433081990305,000200097,PE1505.G8,"Guest, Edwin,",s,1838,    ,1838,Versification;English language,Fiction,A history of English rhythms
nyp.33433082127667,000587419,PR4345.R4,"Reid, J. B.,",s,1889,    ,1889,"Concordances;Burns, Robert;1759-1796",Biography;NotFiction,A complete word and phrase concordance to the poems and songs of Robert Burns
uc1.b147740,006628904,<blank>,<blank>,s,1864,    ,1864,Urdu;Dictionaries;English language,NotFiction;Dictionary,Romanized school dictionary
mdp.39015067352974,001487869,QE51.C2,<blank>,s,1893,    ,1893,Catalogs and collections;Geology,NotFiction;Catalog,"Catalogue of a stratigraphical collection of Canadian rocks prepared for the World's Columbian exposition, Chicago, 1893"
hvd.hx6hbz,009720336,<blank>,<blank>,s,1823,    ,1823,Dictionaries;English language,NotFiction;Dictionary,Johnson's dictionary of the English language in miniature
nyp.33433069237851,006512677,PZ3.C7683,"Converse, James Booth,",s,1899,    ,1899,United States;Political ethics;Politics and government,Fiction,Uncle Sam's Bible;
hvd.32044020321865,009721921,<blank>,"Vidocq, Eugène François,",r,1834,    ,1834,<blank>,NotFiction,Memoirs of Vidocq
nyp.33433061842922,008616803,BL2785.B4 1876a,"Bennett, De Robigne Mortimer,",s,1876,    ,1876,Biography,Fiction,"The world's sages, thinkers and reformers"
nyp.33433009297841,008591758,U410.H5 1850,<blank>,s,1850,    ,1850,Registers;United States Military Academy,NotFiction,"Register of the officers and graduates of the U.S. military academy, at West Point, N.Y., from March 16, 1802, to January 1, 1850"
njp.32101072325481,008591449,U865.H87,"Hutton, Alfred.",s,1892,    ,1892,Swordplay;Fencing,NotFiction,Old sword-play
hvd.32044057510281,009730999,J11.G5,<blank>,s,1834,    ,1834-1873,United States;Politics and government,NotFiction,The Congressional globe
nyp.33433075921738,008619390,<blank>,"Meadows, F. C.",s,1892,    ,1892,Italian;Dictionaries;English;Italian language;English language,NotFiction;Dictionary,Meadows' Italian and English dictionary
uc1.b3420638,006292601,PH2640.B6,"Bizonfy, Ferencz,",s,1886,    ,1886,Hungarian;Dictionaries;Hungarian language;English language;English,NotFiction;Dictionary,English-Hungarian dictionary
mdp.39015075042419,000773289,Z5975.b28,"Bartlett, John,",s,1882,    ,1882,Bibliography;Fishing;Fishes,Bibliographies;NotFiction,Catalogue of books on angling
njp.32101025875269,008887284,<blank>,"Shakespeare, William,",s,1856,    ,1856,"1564-1616;Shakespeare, William;Quotations",NotFiction,Dictionary of Shakespearian quotations
nyp.33433069238529,001441039,PE1667.M2,"Mackay, Charles,",|,1874,||||,1874,Obsolete words;English language,NotFiction,The lost beauties of the English language;
hvd.32044103136651,009730999,J11.G5,<blank>,s,1834,    ,1834-1873,United States;Politics and government,NotFiction,The Congressional globe
hvd.32044103136693,009730999,J11.G5,<blank>,s,1834,    ,1834-1873,United States;Politics and government,NotFiction,The Congressional globe
mdp.39015023478335,001165853,Z881.W716'45,<blank>,s,1845,    ,1845,<blank>,NotFiction;Catalog,Catalogue of books in the library of Wiliams college
wu.89059494765,005921782,BR515B5,"Belcher, Joseph,",s,1854,    ,1854,United States;Religions;Sects,Fiction,The religious denominations in the United States
mdp.39015086735951,001486177,QC983.U48 1891,<blank>,s,1891,    ,1891,Meteorology;United States,NotFiction,"Charts showing the isobars, isotherms, and winds in the United States for each month from January, 1871, to December, 1873"
nyp.33433010725491,003916695,<blank>,"Wight, Robert,",m,1840,1853,1840-1853,India;Botany,NotFiction,Icones plantarum Indiæ Orientalis;
njp.32101072696493,009009229,PE2042.P7 1880,"Poole, Charles Henry.",s,1880,    ,1880,England;Staffordshire;Dialects;English language,NotFiction;Dictionary,An attempt towards a glossary of the archaic and provincial words of the county of Stafford
